"Project Name","Kind","Year Started","Year Ended/Ongoing","Location","Theme","Short Description","Key Numbers","Partners","Funder","Available Photos","Available Report","Available Video","Available Media Coverage","Website Status","Missing Information","Source"
"No Plastic","Campaign","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","Against plastic. The name is the whole demand.","TO COLLECT","TO COLLECT","TO COLLECT","NONE","TO COLLECT","TO COLLECT","NONE ON SITE","INDEX CARD ONLY — no page","A demand this clear should have a record behind it, and we hold none: no year, no target, no outcome. || We do not say whether this is about a ban, a substitution, or a shop. Those are three different campaigns.","data/work/campaigns/no-plastic.json"
"Park Restoration","Campaign","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","Bringing city parks back.","TO COLLECT","TO COLLECT","TO COLLECT","NONE","TO COLLECT","TO COLLECT","NONE ON SITE","INDEX CARD ONLY — no page","Eco Action holds the park figures: over seventy butterfly parks, over twenty herb gardens, and the Vasant Kunj decade. This campaign holds none of them, and we will not move a number onto a page it was not measured for. || No date, no site list and no demand.","data/work/campaigns/park-restoration.json"
"Sustainable Shopping","Campaign","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","About how a city buys things.","TO COLLECT","TO COLLECT","TO COLLECT","NONE","TO COLLECT","TO COLLECT","NONE ON SITE","INDEX CARD ONLY — no page","No date, no demand and no audience on record. A campaign about buying has to have asked somebody to buy differently, and we cannot say who. || Green the Map sells sustainable goods and is named on our homepage as NOT a Swechha programme. Whether this campaign is connected to it is unstated, and it is the first thing a reader will assume.","data/work/campaigns/sustainable-shopping.json"
"This Girl Can","Campaign","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","A campaign about what girls are allowed to do.","TO COLLECT","TO COLLECT","TO COLLECT","NONE","TO COLLECT","TO COLLECT","NONE ON SITE","INDEX CARD ONLY — no page","This is a name and a subject. No start date, no demand, no action we can name. || She Leads Change and ME to WE both work with girls in Jagdamba and both have figures. This campaign has neither, and we cannot tell you whether it is the public face of that work or something separate.","data/work/campaigns/this-girl-can.json"
"We for Yamuna","Campaign","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","The campaign this organisation started as, in 2000. Still its spine.","TO COLLECT","TO COLLECT","TO COLLECT","NONE","TO COLLECT","TO COLLECT","NONE ON SITE","INDEX CARD ONLY — no page","This campaign has no dated action and no stated demand on this page. Its whole story here is the founding story, which the About page already tells better. || The river's own numbers are on the situation page. Not one of them is attributed to this campaign, and we have not claimed one.","data/work/campaigns/we-for-yamuna.json"
"CityScapes","Journey","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","Two to four hours inside the city, at the six places it would rather you did not look at.","1,000+ Walks run (in two decades) | 100,000+ People on them (in two decades)","TO COLLECT","TO COLLECT","6 in gallery","TO COLLECT","TO COLLECT","NONE ON SITE","Detail page","Thirteen frames catalogued here as photographs of these walks have been withdrawn: they are not photographs and were never ours. What is left is a real archive in which which of the six walks each frame was taken on is still recorded nowhere, and two of the six have no frame at all. || A thousand walks and a hundred thousand people, and we cannot tell you which of the six walks people ask for.","data/work/journeys/cityscapes.json"
"Gram Anubhav","Journey","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","Four to five days in rural Uttarakhand, Rajasthan, Gujarat or Himachal.","60+ Journeys organised (cumulative, no start year sourced) | 100+ Grassroots partners in the villages themselves (cumulative, no start year sourced)","TO COLLECT","TO COLLECT","NONE","TO COLLECT","TO COLLECT","NONE ON SITE","Detail page","Twelve frames were filed under this journey and not one of them is a photograph of it — they carry page borders, hands that merge into the tools they are holding, and captions naming states this journey does not go to. || More than a hundred grassroots organisations host these journeys and not one of them is named on this page. || No start year is published for the programme, so sixty journeys is a total and not a rate.","data/work/journeys/gram-anubhav.json"
"NatureScapes","Journey","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","Two to five days in forest, mountain, desert or mangrove.","60+ Journeys organised (cumulative, no start year sourced)","TO COLLECT","TO COLLECT","4 in gallery","TO COLLECT","TO COLLECT","NONE ON SITE","Detail page","Every frame on this page is ours and not one of them is of the six destinations. The only pictures we hold of those were bought from a stock library, and this page will not use them. || Sariska is on the destination list and on nothing else we hold — no photograph, no account, no journal. || No start year is published, so sixty journeys is a total and not a rate.","data/work/journeys/naturescapes.json"
"Yamuna Yatra","Journey","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","Twelve days and a thousand kilometres, downstream, from the source to Agra.","30+ Yatras run (since 2004) | 10,000+ Young people through the Yatra (since 2004)","The American Embassy, British Council, The European Union","TO COLLECT","5 in gallery","TO COLLECT","TO COLLECT","NONE ON SITE","Detail page","The stops between Yamunotri and Agra are not published here. We know both ends and the distance; the ten-stop route on our own older draft appears in no document we can check. || Twelve days of river and not one measurement of it taken by the people who walked it.","data/work/journeys/yamuna-yatra.json"
"Cyclothon","Event","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","NONE","TO COLLECT","TO COLLECT","NONE ON SITE","INDEX CARD ONLY — no page","Cyclothon has been run and we cannot tell you when, where, or how many times.","data/work/events/cyclothon.json"
"Greenathon","Event","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","NONE","TO COLLECT","TO COLLECT","NONE ON SITE","INDEX CARD ONLY — no page","Greenathon has no record on this site beyond its name.","data/work/events/greenathon.json"
"Yamuna Shramdaan","Event","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","NONE","TO COLLECT","TO COLLECT","NONE ON SITE","INDEX CARD ONLY — no page","We cannot tell you when a Yamuna Shramdaan last ran, how many have run, or which stretch of bank. Only that they have.","data/work/events/yamuna-shramdaan.json"
"Yamunotsav","Event","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","9 Editions, one every June (2006–2014)","TO COLLECT","TO COLLECT","NONE","TO COLLECT","TO COLLECT","NONE ON SITE","INDEX CARD ONLY — no page","It ran nine times and then it stopped in 2014. This page does not say why, because nobody has told us. || Nine editions and not one photograph on this page. The frames sit in a Drive folder that will not open for us.","data/work/events/yamunotsav.json"
"The Remakery","Project","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","Upcycling shop and workshop space; weekly 'One Night Stand' events. Named on / and /about; /remakery 404s.","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","ABSENT — old URL redirects to /work/projects","Everything. Decide first whether it belongs on the site at all.","docs/legacy redirect-map: /project/remakery/"
"Teacher Training","Project","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","700+ educators trained per the old site. Currently one bullet inside Bridge the Gap.","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","ABSENT — old URL redirects to /work/projects","Everything. Decide first whether it belongs on the site at all.","/project/teacher-training/"
"Green Finance (with IGES)","Project","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","Study of 93 social enterprises. Longest project page on the old site. Pairs with the IGES report on /publications.","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","ABSENT — old URL redirects to /work/projects","Everything. Decide first whether it belongs on the site at all.","/project/green-finance/"
"Circular Economy / Marine Litter & EPR","Project","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","GIZ + MoEFCC, Indo-German bilateral cooperation. 10 single-use-plastic-alternative infographics.","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","ABSENT — old URL redirects to /work/projects","Everything. Decide first whether it belongs on the site at all.","/project/circular-economy-marine-litter-and-epr/"
"Women & Non-Traditional Livelihoods","Project","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","Udaan, British Council YWSEDP, MOM candle enterprise, Lunchbox 17 (25,000 meals/yr) which became Million Kitchen.","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","ABSENT — old URL redirects to /work/projects","Everything. Decide first whether it belongs on the site at all.","/project/women-and-non-traditional-livelihood/"
"Pagdandi","Project","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","2007 open-air school on the Yamuna at Kudsia Ghat; Jagdamba Camp school; Kitaab Ghar library; RTE campaign, 150+ children into formal schools. ME to WE's origin.","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","ABSENT — old URL redirects to /work/projects","Everything. Decide first whether it belongs on the site at all.","/project/... (named in the legacy audit §1.5)"
"Films & Documentaries","Project","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","Jijivisha, Wasted, Disposable, Tatva, Sakhi (2021, Ford Foundation). Broadcast on CNN International, NDTV, BBC, CBC.","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","ABSENT — old URL redirects to /stories","Everything. Decide first whether it belongs on the site at all.","/project/films-and-documentaries/"
"Bee Keepers Collective Training","Project","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","Farm training programme. Old counters contradict each other (500 kg vs 600 litres).","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","ABSENT — old URL redirects to /farm","Everything. Decide first whether it belongs on the site at all.","/project/bee-keepers-collective-training/"
"Composting & Micro-enterprises","Project","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","Farm training programme.","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","ABSENT — old URL redirects to /farm","Everything. Decide first whether it belongs on the site at all.","/project/composting-and-micro-enterprises/"
"Soil Regeneration Training","Project","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","Farm training programme. Old counter (9,385) is contaminated placeholder data.","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","ABSENT — old URL redirects to /farm","Everything. Decide first whether it belongs on the site at all.","/project/soil-regeneration-training/"
"Sustainable Agriculture Training Camps","Project","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","Farm training programme.","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","ABSENT — old URL redirects to /farm","Everything. Decide first whether it belongs on the site at all.","/project/sustainable-agriculture-training-camps/"
"Women Farmers Collective","Project","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","Farm training programme.","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","ABSENT — old URL redirects to /farm","Everything. Decide first whether it belongs on the site at all.","/project/women-farmers-collective/"
"Solar Energy Training","Project","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","Old page was an unfinished lorem-ipsum template. Verify it ever ran.","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","ABSENT — old URL redirects to /farm","Everything. Decide first whether it belongs on the site at all.","/project/solar-energy-training/"
"Water Harvesting Training","Project","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","Old page was an unfinished lorem-ipsum template. Verify it ever ran.","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","ABSENT — old URL redirects to /farm","Everything. Decide first whether it belongs on the site at all.","/project/water-harvesting-training/"
"Learning Communities","Project","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","Named on /impact and 3 built pages. Old counter (9,385 'Campaigns') is contaminated.","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","ABSENT — old URL redirects to /work/projects","Everything. Decide first whether it belongs on the site at all.","/project/learning-communities/"
"Green Creeps","Project","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","No presence anywhere on the new site.","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","ABSENT — old URL redirects to /work/projects","Everything. Decide first whether it belongs on the site at all.","/project/green-creeps/"
"Road to Leadership","Project","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","No presence anywhere on the new site.","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","ABSENT — old URL redirects to /work/projects","Everything. Decide first whether it belongs on the site at all.","/project/road-to-leadership/"
"Brake Even","Project","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","Appears on zero built pages.","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","ABSENT — old URL redirects to /work/campaigns","Everything. Decide first whether it belongs on the site at all.","/project/brake-even-2/"
"US Embassy Micro Grants Competition","Project","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","Appears only in the video index.","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","ABSENT — old URL redirects to /work/projects","Everything. Decide first whether it belongs on the site at all.","/project/u-s-embassy-micro-grants-competition/"
"Micro Grants","Project","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","ABSENT — old URL redirects to /work/projects","Everything. Decide first whether it belongs on the site at all.","/project/micro-grants/"
"Green Exposures / Eco Walks","Journey","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","Probably the ancestor of CityScapes — confirm or fold.","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","ABSENT — old URL redirects to /work/journeys","Everything. Decide first whether it belongs on the site at all.","/project/green-exposures-eco-walks/"
"Future Lifestyles Project","Project","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","Pairs with the IGES New Delhi scenario already on /publications.","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","ABSENT — old URL redirects to /work/projects","Everything. Decide first whether it belongs on the site at all.","/project/future-lifestyles-project/"
"Air Pollution Campaigns","Campaign","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","Probably the ancestor of Delhi I Can't See You — confirm or fold.","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","ABSENT — old URL redirects to /work/campaigns","Everything. Decide first whether it belongs on the site at all.","/project/air-pollution-campaigns/"
"Cycles for Sustainability","Event","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","Probably related to Cyclothon — confirm or fold.","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","ABSENT — old URL redirects to /work/events","Everything. Decide first whether it belongs on the site at all.","/project/cycles-for-sustainability/"
"US Dept of State / Green the Map podcast & masterclass series","Project","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","Podcasts are on /stories; the programme behind them is not described.","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","ABSENT — old URL redirects to /stories","Everything. Decide first whether it belongs on the site at all.","/project/u-s-dept-of-state-...-masterclass-series.../"
"Dairy Cooperative and Cow Rearing","Project","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","Listed on the old Programs page and the Sustainable Agriculture theme page but had NO project page even on the old site — a promise the old site never kept. /farm names 20 cows.","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","TO COLLECT","ABSENT — old URL redirects to /farm","Everything. Decide first whether it belongs on the site at all.","legacy audit §1.5"
