"ID","Item","Kind","On the site today","Can it have a page?","MINIMUM to earn a page","Name to use","One line (about 110 characters)","Intro — two sentences","Year started","Year ended, or 'ongoing'","Where it happens / happened","What it sets out to do (3-4 short points)","How it works (2-3 points)","Activities (2-4, a sentence each)","Who it is for (3-4 points)","What it has done (3-4 points)","Figures — value | what it counts | period | counted or modelled | who said it + date","Schools involved","Partners","Funders","Photo links (Drive)","Captions for those photos","Statement line (under 34 characters, NO digits)","What we still cannot say","Who can answer","Status"
"N-07","Films & Documentaries","projects","Nothing. Old URL redirects to a parent index.","YES — new item. Needs a file, then the same ruling.","Broadcast history with dates and channels (CNN International, NDTV, BBC, CBC), the Ford Foundation relationship for Sakhi, and director/producer credits.","","","","","","","","","","","","","","","","","","","","Vimlendu","NOT STARTED"
"N-08","Bee Keepers Collective Training","projects","Nothing. Old URL redirects to a parent index.","YES — new item. Needs a file, then the same ruling.","What it trains, who attends, how many have been through, which years, any partner. Note the old site said 500 kg and 600 litres in adjacent paragraphs — neither is usable without a source.","","","","","","","","","","","","","","","","","","","","Naveen","NOT STARTED"
"N-09","Composting & Micro-enterprises","projects","Nothing. Old URL redirects to a parent index.","YES — new item. Needs a file, then the same ruling.","What it trains, who attends, how many, which years.","","","","","","","","","","","","","","","","","","","","Naveen","NOT STARTED"
"N-10","Soil Regeneration Training","projects","Nothing. Old URL redirects to a parent index.","YES — new item. Needs a file, then the same ruling.","What it trains, who attends, how many, which years. The old counter (9,385) is contaminated placeholder data — do not reuse it.","","","","","","","","","","","","","","","","","","","","Naveen","NOT STARTED"
"N-11","Sustainable Agriculture Training Camps","projects","Nothing. Old URL redirects to a parent index.","YES — new item. Needs a file, then the same ruling.","What it trains, who attends, how many, which years.","","","","","","","","","","","","","","","","","","","","Naveen","NOT STARTED"
"N-12","Women Farmers Collective","projects","Nothing. Old URL redirects to a parent index.","YES — new item. Needs a file, then the same ruling.","What it trains, who attends, how many, which years.","","","","","","","","","","","","","","","","","","","","Naveen","NOT STARTED"
"N-13","Learning Communities","projects","Nothing. Old URL redirects to a parent index.","YES — new item. Needs a file, then the same ruling.","What it is, which communities, which years, and how it relates to She Leads Change's published '300 girls in the wider Learning Communities cohort'.","","","","","","","","","","","","","","","","","","","","Ashim","NOT STARTED"
"N-14","Green Creeps","projects","Nothing. Old URL redirects to a parent index.","YES — new item. Needs a file, then the same ruling.","Does it still exist? If yes: what it is, years, scale. If no: one timeline line instead of a page.","","","","","","","","","","","","","","","","","","","","Ashim","NOT STARTED"
"N-15","Road to Leadership","projects","Nothing. Old URL redirects to a parent index.","YES — new item. Needs a file, then the same ruling.","Does it still exist? If yes: what it is, years, scale. If no: one timeline line instead of a page.","","","","","","","","","","","","","","","","","","","","Ashim","NOT STARTED"
"N-16","Brake Even","campaigns","Nothing. Old URL redirects to a parent index.","YES — new item. Needs a file, then the same ruling.","What it was, which years, what it asked for. Appears on zero pages today.","","","","","","","","","","","","","","","","","","","","Ashim","NOT STARTED"
"N-17","Micro Grants / US Embassy Micro Grants","projects","Nothing. Old URL redirects to a parent index.","YES — new item. Needs a file, then the same ruling.","What was granted, to whom, how many, which years, and the US Embassy relationship.","","","","","","","","","","","","","","","","","","","","Ashim","NOT STARTED"
"N-18","Green Exposures / Eco Walks","journeys","Nothing. Old URL redirects to a parent index.","YES — new item. Needs a file, then the same ruling.","Is this the ancestor of CityScapes? If yes, fold it in. If separate: what it is, years, scale.","","","","","","","","","","","","","","","","","","","","Ashim","NOT STARTED"
"N-19","Future Lifestyles Project","projects","Nothing. Old URL redirects to a parent index.","YES — new item. Needs a file, then the same ruling.","What it was and how it relates to the IGES New Delhi scenario already on /publications.","","","","","","","","","","","","","","","","","","","","Vimlendu","NOT STARTED"
"N-20","Air Pollution Campaigns","campaigns","Nothing. Old URL redirects to a parent index.","YES — new item. Needs a file, then the same ruling.","Is this the ancestor of Delhi I Can't See You? Fold, or describe separately.","","","","","","","","","","","","","","","","","","","","Ashim","NOT STARTED"
"N-21","Cycles for Sustainability","events","Nothing. Old URL redirects to a parent index.","YES — new item. Needs a file, then the same ruling.","Is this Cyclothon under another name? Fold, or describe separately.","","","","","","","","","","","","","","","","","","","","Ashim","NOT STARTED"
"N-22","Dairy Cooperative and Cow Rearing","projects","Nothing. Old URL redirects to a parent index.","YES — new item. Needs a file, then the same ruling.","Listed on the old site's Programs page but never had a page even there. Does it exist as a programme? /farm names 20 cows.","","","","","","","","","","","","","","","","","","","","Naveen","NOT STARTED"
"N-23","US Dept of State / podcast & masterclass series","projects","Nothing. Old URL redirects to a parent index.","YES — new item. Needs a file, then the same ruling.","What the programme was, the US Dept of State relationship, which years. The podcasts are already on /stories; the programme behind them is not described.","","","","","","","","","","","","","","","","","","","","Vimlendu / Anushka","NOT STARTED"
