"Organisation","Type of Partner","Project/Campaign","Year(s)","Nature of Association","Logo Available","Permission to Display","Existing Website Mention","Missing Content","Should this be publicly featured?","Source"
"The American Embassy","Institutional partner","Yamuna Yatra","TO COLLECT","TO COLLECT","NO","TO COLLECT","Named on /work — Yamuna Yatra","Years, nature of association, logo, website link, one-line description","TO COLLECT","data/work/**/*.json `with`"
"The European Union","Institutional partner","Yamuna Yatra","TO COLLECT","TO COLLECT","NO","TO COLLECT","Named on /work — Yamuna Yatra","Years, nature of association, logo, website link, one-line description","TO COLLECT","data/work/**/*.json `with`"
"The Shriram Schools","School","NatureScapes","TO COLLECT","TO COLLECT","NO","TO COLLECT","Named on /work — NatureScapes","Years, nature of association, logo, website link, one-line description","TO COLLECT","data/work/**/*.json `with`"
"UNEP","Institutional partner","Food systems, with UNEP","TO COLLECT","TO COLLECT","NO","TO COLLECT","Named on /work — Food systems, with UNEP","Years, nature of association, logo, website link, one-line description","TO COLLECT","data/work/**/*.json `with`"
"Vasant Valley School","School","Yamuna Yatra","TO COLLECT","TO COLLECT","NO","TO COLLECT","Named on /work — Yamuna Yatra","Years, nature of association, logo, website link, one-line description","TO COLLECT","data/work/**/*.json `with`"
"GIZ","Knowledge / publication partner","The Sustainable Shopping Basket (2010); Circular Economy / Marine Litter & EPR","2010; TBC","Co-produced the shopping guide; Indo-German bilateral cooperation on marine litter","NO","TO COLLECT","Named on /publications","Years, scope, the marine-litter project's whole record","TO COLLECT","data/publications.json; legacy audit §1.5"
"IGES","Research partner / publisher","Future Lifestyles: the New Delhi scenario (2021); Green Finance study","2021; TBC","IGES published; Swechha was the New Delhi partner","NO","Report is hosted with credit + link","Named and credited on /publications","The Green Finance project (93 social enterprises) has no page","TO COLLECT","data/publications.json"
"MoEFCC (Ministry of Environment, Forest and Climate Change)","Government","Circular Economy / Marine Litter & EPR","TO COLLECT","Named in the old project page","NO","TO COLLECT","NOT on any built page","Everything — this is the only government collaboration in the archive","TO COLLECT","legacy audit §1.5"
"Ford Foundation","Funder","Sakhi (2021 film)","2021","Supported the film per the old site","NO","TO COLLECT","NOT on any built page","Everything","TO COLLECT","legacy audit §1.5"
"VSO / DFID","Programme partner","Influence / CYON — International Citizen Service exchange","2012","65 leaders, India and UK","NO","TO COLLECT","Named in passing on 4 built pages","The exchange itself has no page","TO COLLECT","legacy audit §1.5"
"UNV (United Nations Volunteers)","Institutional","International Year of Volunteers 2001, India","2001","Swechha's founder headed the Volunteer Promotion Unit, New Delhi","NO","TO COLLECT","In one team biography only","Whether this is an organisational or a personal association","TO COLLECT","data/about-people.json"
"EMpower","Funder / partner","ME to WE; She Leads Change","TBC","Funds both Jagdamba programmes","NO","TO COLLECT","Named on 5 built pages","Years, grant scope, and how the two programmes differ","TO COLLECT","data/work/projects/*.json"
"British Council","Partner","Yamuna Yatra; Women & Non-Traditional Livelihoods (YWSEDP)","TBC","Named as a Yatra partner; YWSEDP for the livelihoods work","NO","TO COLLECT","Named on 2 built pages","The YWSEDP relationship entirely","TO COLLECT","data/work/journeys/yamuna-yatra.json; legacy audit §1.5"
"Green the Map","Related enterprise (NOT a Swechha programme)","Upcycled goods","TBC","Explicitly labelled on the homepage as a separate organisation with its own accounts","Own site","TO COLLECT","Named on 4 built pages","Whether the Sustainable Shopping campaign is connected to it — a reader will assume it is","Already featured, with the distinction stated","home.html"
"The Yamunotsav / Shramdaan host bodies","TO COLLECT","Yamunotsav; Yamuna Shramdaan","2006-2014; TBC","Nine editions of a river festival must have had civic or municipal counterparties","NO","TO COLLECT","NOT on any built page","Everything","TO COLLECT","data/work/events/*.json holes"
"100+ grassroots host organisations","Community partner","Gram Anubhav","TO COLLECT","Host the journeys in their own villages","NO","REQUIRED — five names, with permission","Counted (100+) on /work/journeys/gram-anubhav, none named","Five names to start with","TO COLLECT","data/work/journeys/gram-anubhav.json hole"
"50 colleges + 75 partner organisations","Institutional","Influence — volunteering","since 2010","Volunteering placements","NO","REQUIRED — five names each, with permission","Counted on /work/projects/influence, none named","Five names in each category","TO COLLECT","data/work/projects/influence.json hole"
