"ID","Page","Section","Kind of answer needed","What the site says now","What is missing",">>> YOUR ANSWER (write here)","Number: value (e.g. 700+)","Number: what it counts","Number: period (e.g. since 2010)","Counted or modelled?","Who says so + date (e.g. Ashim 2026-09-02)","Photo / document link","Caption for the photo (what it SHOWS)","Who can answer","Priority","Status"
"A-11","/work/projects/influence","Influence","Number","Page is live. Volunteering and a fellowship, nationwide. Ten thousand volunteers a year, and over 300 youth groups.","How long a fellowship runs is not stated here, because we have not been told.  ->  One number: the length of the year.","","","","","","","","","Ashim","HIGH","NOT STARTED"
"A-12","/work/projects/influence","Influence","Number","Page is live. Volunteering and a fellowship, nationwide. Ten thousand volunteers a year, and over 300 youth groups.","Fifty colleges and seventy-five partner organisations sit behind the volunteering half, and this page names none of them.  ->  Five names with permission. It would turn two counts into a list of collaborators, which is what they are.","","","","","","","","","Ashim","HIGH","NOT STARTED"
"A-13","/work/projects/me-to-we","ME to WE","Photograph","Page is live. Over 3,000 girls and boys in thirteen years. Over 200 came back as peer leaders.","The photograph above is one of ours and it is of schoolchildren, but it is not of this. Nothing of the riverbank school, nothing of the Jagdamba group, and no face on the alumni who became staff.  ->  Any frame from the camp or the riverbank, with consent, and this page stops being the best-written unillustrated thing on the site.","","","","","","","","","Ashim","CRITICAL","NOT STARTED"
"A-14","/work/projects/me-to-we","ME to WE","Text","Page is live. Over 3,000 girls and boys in thirteen years. Over 200 came back as peer leaders.","We say some alumni are now core team members and we name none of them.  ->  Two names, with their permission. It would turn the strongest claim we make about ourselves into a person a reader can look at.","","","","","","","","","Ashim","HIGH","NOT STARTED"
"A-15","/work/projects/me-to-we","ME to WE","Text","Page is live. Over 3,000 girls and boys in thirteen years. Over 200 came back as peer leaders.","ME to WE and She Leads Change both sit on Jagdamba and both run with EMpower. This page does not yet say how they differ.  ->  One sentence of difference — or an answer that they are one programme, which is also fine, and shorter.","","","","","","","","","Ashim","HIGH","NOT STARTED"
"A-16","/work/campaigns/monsoon-wooding","Monsoon Wooding","Number","Page is live. About 5,000 trees a year in Delhi NCR. Over 50,000 planted and survived.","We count survivors against what was planted, so a rate exists — but we cannot publish one here, because the planted total behind the fifty thousand is not written down anywhere we can cite.  ->  One number: how many went into the ground. With it, this page can state a survival rate instead of describing a method.","","","","","","","","","Ashim","HIGH","NOT STARTED"
"A-17","/work/campaigns/monsoon-wooding","Monsoon Wooding","Number","Page is live. About 5,000 trees a year in Delhi NCR. Over 50,000 planted and survived.","How long after planting the count is taken is not recorded, and it is the difference between a sapling that made it and one that had not died yet.  ->  The interval. A year, two years, whatever it actually is.","","","","","","","","","Ashim","HIGH","NOT STARTED"
"A-18","/work/campaigns/monsoon-wooding","Monsoon Wooding","Text","Page is live. About 5,000 trees a year in Delhi NCR. Over 50,000 planted and survived.","The sites are spread across Delhi and we hold no geo locations for them, so there is nowhere on this page a reader can go and stand.  ->  Coordinates, or even a list of neighbourhoods, for the seasons we can still reconstruct.","","","","","","","","","Ashim","HIGH","NOT STARTED"
"A-19","/work/journeys/cityscapes","CityScapes","Photograph","Page is live. Two to four hours inside the city, at the six places it would rather you did not look at.","Thirteen frames catalogued here as photographs of these walks have been withdrawn: they are not photographs and were never ours. What is left is a real archive in which which of the six walks each frame was taken on is still recorded nowhere, and two of the six have no frame at all.  ->  A walk name against each frame, and any photograph at all of the heritage walk or the restoration park. It would let the six walks above carry a photograph each instead of a line each.","","","","","","","","","Ashim","CRITICAL","NOT STARTED"
"A-20","/work/journeys/cityscapes","CityScapes","Number","Page is live. Two to four hours inside the city, at the six places it would rather you did not look at.","A thousand walks and a hundred thousand people, and we cannot tell you which of the six walks people ask for.  ->  Any per-walk count would let this page rank its own routes instead of listing them.","","","","","","","","","Ashim","HIGH","NOT STARTED"
"A-21","/work/journeys/gram-anubhav","Gram Anubhav","Photograph","Page is live. Four to five days in rural Uttarakhand, Rajasthan, Gujarat or Himachal.","Twelve frames were filed under this journey and not one of them is a photograph of it — they carry page borders, hands that merge into the tools they are holding, and captions naming states this journey does not go to.  ->  One real frame from one real Gram Anubhav. Sixty of these have been run, so the photographs exist somewhere; what is on file here is not them.","","","","","","","","","Ashim","CRITICAL","NOT STARTED"
"A-22","/work/journeys/gram-anubhav","Gram Anubhav","Number","Page is live. Four to five days in rural Uttarakhand, Rajasthan, Gujarat or Himachal.","More than a hundred grassroots organisations host these journeys and not one of them is named on this page.  ->  Five host organisations named, with permission, would turn a count into a list of collaborators — and it is their programme as much as ours.","","","","","","","","","Ashim","HIGH","NOT STARTED"
"A-23","/work/journeys/gram-anubhav","Gram Anubhav","Number","Page is live. Four to five days in rural Uttarakhand, Rajasthan, Gujarat or Himachal.","No start year is published for the programme, so sixty journeys is a total and not a rate.  ->  One year.","","","","","","","","","Ashim","HIGH","NOT STARTED"
"A-24","/work/journeys/naturescapes","NatureScapes","Photograph","Page is live. Two to five days in forest, mountain, desert or mangrove.","Every frame on this page is ours and not one of them is of the six destinations. The only pictures we hold of those were bought from a stock library, and this page will not use them.  ->  Any Swechha frames from the sixty-plus journeys. One per ecosystem would let this page open on its own work.","","","","","","","","","Ashim","CRITICAL","NOT STARTED"
"A-25","/work/journeys/naturescapes","NatureScapes","Photograph","Page is live. Two to five days in forest, mountain, desert or mangrove.","Sariska is on the destination list and on nothing else we hold — no photograph, no account, no journal.  ->  Confirmation that Sariska is still a destination.","","","","","","","","","Ashim","CRITICAL","NOT STARTED"
"A-26","/work/journeys/naturescapes","NatureScapes","Number","Page is live. Two to five days in forest, mountain, desert or mangrove.","No start year is published, so sixty journeys is a total and not a rate.  ->  One year.","","","","","","","","","Ashim","HIGH","NOT STARTED"
"A-27","/work/journeys/yamuna-yatra","Yamuna Yatra","Text","Page is live. Twelve days and a thousand kilometres, downstream, from the source to Agra.","The stops between Yamunotri and Agra are not published here. We know both ends and the distance; the ten-stop route on our own older draft appears in no document we can check.  ->  Confirmation of the ten stops (content ledger hole 12) would let this page draw the route it is named after.","","","","","","","","","Ashim","HIGH","NOT STARTED"
"A-28","/work/journeys/yamuna-yatra","Yamuna Yatra","Number","Page is live. Twelve days and a thousand kilometres, downstream, from the source to Agra.","Twelve days of river and not one measurement of it taken by the people who walked it.  ->  Any water readings the cohorts took would let this page put the river's own numbers beside the walk.","","","","","","","","","Ashim","HIGH","NOT STARTED"
"B-01","/about","The record since 2000","Text","Four entries: 2000, 2004, 2016, Now.","22 of 26 years are blank. Need 15-25 dated entries, each with one anchor (a report page, a photo, a partner). The nine annual reports in the repo are a year-by-year record of exactly this period.","","","","","","","","","Whoever reads the reports","CRITICAL","NOT STARTED"
"B-02","/about","Transparency","Document","Nothing. The nine reports and the 80G certificate are on the server, linked from no page.","A decision on how they appear, plus the FY each covers and one line on each. Name the five lost reports and the two gap years as gaps.","","","","","","","","","Vimlendu","CRITICAL","NOT STARTED"
"B-03","/about","Registration","Text","Footer says 'Registered Societies Registration Act, 80G, 12A, FCRA Powered' — no numbers.","Societies Act number and date; 12A number; 80G number and validity; FCRA number and validity; the exact registered legal name.","","","","","","","","","Neeraj","CRITICAL","NOT STARTED"
"B-04","/about","Money","Number","No income or expenditure figure anywhere on the site.","Three years of total income, total expenditure, and share to programmes vs admin. Already printed inside the annual reports.","","","","","","","","","Neeraj","HIGH","NOT STARTED"
"B-05","/about","Governance","Text","Eight board members listed. Three are also staff, which the page notes and does not explain.","How often the board meets, what it decides, term lengths, how members are appointed, and the policy on staff who also sit on the board.","","","","","","","","","Vimlendu / Kuriakose","MEDIUM","NOT STARTED"
"B-06","/about","Policies","Document","None published.","Child protection / safeguarding, POSH policy and committee, consent process for photographing minors. Schools ask for these before they ask about price.","","","","","","","","","Ashim / Neeraj","HIGH","NOT STARTED"
"B-07","/about","Awards","Text","Every award is buried inside one biography.","A verified list: award, awarding body, year, what it was for, link or scan. Separate Vimlendu's personal awards from Swechha's institutional ones.","","","","","","","","","Vimlendu","MEDIUM","NOT STARTED"
"B-08","/about","Naveen Joshua","Text","Name and role only. Every other board member has a biography.","100-250 words: current role, qualifications, why he is on this board. Plus a portrait if he consents.","","","","","","","","","Vimlendu","MEDIUM","NOT STARTED"
"B-09","/about","Board portraits","Photograph","Eight staff portraits. No board portraits — the old files are 338x232 and too small.","Eight portraits at 1200px or better, with each member's consent.","","","","","","","","","Vimlendu","MEDIUM","NOT STARTED"
"B-10","/","Impact band","Number","Four figures under 'Swechha's own record'. Two of them — 6,890t 'Out of the Yamuna' and '100+ green infrastructures across 100+ schools' — are in no data file and not on /impact.","Source both, or withdraw both. For 6,890t: what was weighed, over what period, by whom. For the green infrastructures: what counts as one, and over what period.","","","","","","","","","Ashim / Vimlendu","CRITICAL","NOT STARTED"
"B-11","/","Paper archive strip","Photograph","27 year-cells, 7 real, 20 placeholders. Every year 2000-2017 is a placeholder.","One datable image per year for 2000-2017, plus 2021 and 2024. Photo, poster, clipping, letter or report cover — 20 items.","","","","","","","","","Office archive","CRITICAL","NOT STARTED"
"B-12","/","'Do it yourself' door","Text","Describes four evergreen guides — compost, balcony air-detox garden, school waste audit, self-guided river walk — and links nowhere.","Either the four guides, or a decision to remove the door.","","","","","","","","","Ashim / Nikhil","MEDIUM","NOT STARTED"
"B-13","/farm","What runs here","Text","Describes the place and five visit formats. No programme is described.","The five farm training programmes: Bee Keepers Collective, Composting & Micro-enterprises, Soil Regeneration, Sustainable Agriculture Camps, Women Farmers Collective. What each trains, who attends, how many have been through, which years.","","","","","","","","","Naveen / Ashim","HIGH","NOT STARTED"
"B-14","/farm","Built by Mewat","Text","A section titled 'Built by Mewat' that names nobody from Mewat.","Two or three people who built or work the farm: name, village, what they do, one quote, a portrait. With consent.","","","","","","","","","Naveen","HIGH","NOT STARTED"
"B-15","/farm","Visits","Text","30 school groups a year, five visit formats. No school named, no visit described.","One day-visit and one overnight camp told from the school's side, with a named teacher quote and photographs. With permission.","","","","","","","","","Naveen / Ashim","HIGH","NOT STARTED"
"B-16","/farm","Practicalities","Text","Says 90 minutes from Delhi, sleeps 100, 'not a hotel'. No costs, seasons, capacity, accessibility or safeguarding.","Indicative cost basis, best months, group size limits, accessibility, safeguarding for overnight stays with minors, what a school brings.","","","","","","","","","Naveen","MEDIUM","NOT STARTED"
"B-17","/farm","Where it is","Text","'An hour and a half from Delhi'. No map, no address.","Nearest town, address or pin, how to get there. Plus a decision on whether to publish a precise location.","","","","","","","","","Naveen / Vimlendu","MEDIUM","NOT STARTED"
"B-18","/impact","The register","Number","33 figures. Nine carry 'cumulative, no start year sourced'.","Nine start years: Eco Action butterfly parks, Eco Action herb gardens, Farm School composting, Farm School honey, Monsoon Wooding cumulative trees, Gram Anubhav journeys, Gram Anubhav partners, NatureScapes journeys, She Leads Change cohort period.","","","","","","","","","Ashim","HIGH","NOT STARTED"
"B-19","/impact","Effect, not reach","Number","All 33 figures count reach. Nothing counts effect.","Any one of: tree survival rate, what changed in one school, a fellow's project outcome, per-walk demand, teachers trained.","","","","","","","","","Ashim","HIGH","NOT STARTED"
"B-20","/publications","The publications","Document","Three items.","Six more that already exist and are public: NatureScapes Manual (Sirmaur), NatureScapes Manual (Sariska), Yamuna Manual, CineGreen Manual, New Delhi Brochure, and the Green Finance material. Drive IDs are in the legacy audit.","","","","","","","","","Ashim","HIGH","NOT STARTED"
"B-21","/stories","Written","Text","Five essays, all 2022-23. Nothing published in two years.","Three or four new pieces, bylined. Best candidates from work already done: the Vasant Kunj decade, Yamunotsav, a fellow's project, a Gram Anubhav host's account. Plus: publish or drop the 2018 essay 'Learning to grow with Swechha'.","","","","","","","","","Ashim / Srija / Anushka","HIGH","NOT STARTED"
"B-22","/stories","Films","Document","Five entries. 'Disposable' returns zero hits across all 148 indexed videos; 'Yatra' is not a film. 'Tatva' and 'Sakhi' are named in a bio and appear nowhere.","A file or link for Disposable, Tatva and Sakhi — or written confirmation they are lost. Plus the Ford Foundation credit for Sakhi.","","","","","","","","","Vimlendu","MEDIUM","NOT STARTED"
"B-23","/stories","Videos","Document","148 videos indexed in the repo; roughly 8 used on the site.","A curation pass: which video belongs on which page. Several pageless items almost certainly have footage.","","","","","","","","","Anushka / Ashim","MEDIUM","NOT STARTED"
"B-24","/now/air, /now/yamuna, /now/heat, /now/forest-fire, /now/forest-loss, /now/climate-event","What we do about it","Document","Each links Swechha's programmes. None documents an advocacy action.","Any RTI, consultation response, PIL, ministry submission or official meeting on that issue: date, addressee, what was asked, what happened.","","","","","","","","","Vimlendu / Kuriakose","HIGH","NOT STARTED"
"B-25","/work/projects/influence","The fellows","Text","10 fellowships a year since 2010. No fellow named.","For 5-10 fellows: name, city/state, fellowship year, project run, one outcome, a portrait, a 50-word update, written permission. Plus how long a fellowship runs.","","","","","","","","","Ashim","CRITICAL","NOT STARTED"
"B-26","Site-wide","Voices","Text","The only quoted voice on 35 pages is the Executive Director, twice, on /farm.","8-12 short attributed quotes: 2 students, 2 teachers, 2 fellows, 2 village hosts, 1 volunteer, 1 funder. Exact words, name, role, place, year, written consent.","","","","","","","","","Programme team","HIGH","NOT STARTED"
"B-27","Site-wide","Media coverage","Document","No record that Swechha has ever been covered by anyone.","Scans and links: CNN 'Be the Change' (2007-08), India Today and Outlook top-25 (2004), International Youth Foundation (2004), UN General Assembly (2011), NDTV/BBC/CBC broadcasts. The old site's news archive was 59 empty shells, so this must come from paper.","","","","","","","","","Vimlendu","CRITICAL","NOT STARTED"
"B-28","Site-wide","Partners and funders","Text","20 organisations named, all inside five item pages. No logos, no years, no permission record.","Per organisation: relationship type, project, years, one line, logo file, website, and written permission to display. Start from the funder lists inside the nine annual reports.","","","","","","","","","Neeraj / Vimlendu","HIGH","NOT STARTED"
"B-29","Site-wide","Schools","Text","250+ claimed. Five named.","20-30 named partner schools, not 250: name, city, state, programme, years, participants, and permission.","","","","","","","","","Ashim","CRITICAL","NOT STARTED"
"B-30","/explore","Whole page","Decision","Live, crawlable, serving the OLD design with the old navigation and three 'nothing published yet' empty states.","A decision: redirect it to /stories, or delete it. No content needed.","","","","","","","","","Vimlendu","CRITICAL","NOT STARTED"
