"Metric","Current Number on Website","Correct/Verified Number?","Year/Period","Source of Data","Supporting Document","Needs Updating?","Website Page(s) Using It"
"Influence — Placements","200","Published with basis stated: counted","since 2010","SOURCE-FACTS §85","NONE ATTACHED — no source document is linked on the site","No","/work/projects/influence + /impact register"
"Influence — Partner organisations","75","Published with basis stated: counted","since 2010","SOURCE-FACTS §85","NONE ATTACHED — no source document is linked on the site","No","/work/projects/influence + /impact register"
"Influence — Youth groups in the CYON network","300+","Published with basis stated: counted","since 2010","SOURCE-FACTS §86","NONE ATTACHED — no source document is linked on the site","No","/work/projects/influence + /impact register"
"ME to WE — Girls and boys through the programme","3,000+","Published with basis stated: counted","over thirteen years","SOURCE-FACTS §82","NONE ATTACHED — no source document is linked on the site","No","/work/projects/me-to-we + /impact register"
"ME to WE — Alumni who came back as peer leaders","200+","Published with basis stated: counted","over thirteen years","SOURCE-FACTS §82","NONE ATTACHED — no source document is linked on the site","No","/work/projects/me-to-we + /impact register"
"ME to WE — Young people through job-exposure camps","400+","Published with basis stated: counted","since 2019","SOURCE-FACTS §83","NONE ATTACHED — no source document is linked on the site","No","/work/projects/me-to-we + /impact register"
"She Leads Change — Adolescent girls through the year-long journey","50+","Published with basis stated: counted","since 2017","SOURCE-FACTS §177","NONE ATTACHED — no source document is linked on the site","No","/work/projects (card only) + /impact register"
"She Leads Change — Girls in the wider Learning Communities cohort","300","Published with basis stated: counted","period not sourced","SOURCE-FACTS §177","NONE ATTACHED — no source document is linked on the site","YES — period not sourced","/work/projects (card only) + /impact register"
"She Leads Change — Girls recognised by the ELC Bright Promise Award","57","Published with basis stated: counted","in 2018","SOURCE-FACTS §178","NONE ATTACHED — no source document is linked on the site","No","/work/projects (card only) + /impact register"
"Monsoon Wooding — Trees planted in Delhi NCR","~5,000","Published with basis stated: counted","each year","SOURCE-FACTS §95","NONE ATTACHED — no source document is linked on the site","No","/work/campaigns/monsoon-wooding + /impact register"
"Monsoon Wooding — Trees planted and survived","50,000+","Published with basis stated: counted","cumulative, no start year sourced","SOURCE-FACTS §95","NONE ATTACHED — no source document is linked on the site","YES — no start year","/work/campaigns/monsoon-wooding + /impact register"
"CityScapes — Walks run","1,000+","Published with basis stated: counted","in two decades","SOURCE-FACTS §168","NONE ATTACHED — no source document is linked on the site","No","/work/journeys/cityscapes + /impact register"
"CityScapes — People on them","100,000+","Published with basis stated: counted","in two decades","SOURCE-FACTS §168","NONE ATTACHED — no source document is linked on the site","No","/work/journeys/cityscapes + /impact register"
"Gram Anubhav — Journeys organised","60+","Published with basis stated: counted","cumulative, no start year sourced","SOURCE-FACTS §193","NONE ATTACHED — no source document is linked on the site","YES — no start year","/work/journeys/gram-anubhav + /impact register"
"Gram Anubhav — Grassroots partners in the villages themselves","100+","Published with basis stated: counted","cumulative, no start year sourced","SOURCE-FACTS §51","NONE ATTACHED — no source document is linked on the site","YES — no start year","/work/journeys/gram-anubhav + /impact register"
"NatureScapes — Journeys organised","60+","Published with basis stated: counted","cumulative, no start year sourced","SOURCE-FACTS §190","NONE ATTACHED — no source document is linked on the site","YES — no start year","/work/journeys/naturescapes + /impact register"
"Yamuna Yatra — Yatras run","30+","Published with basis stated: counted","since 2004","SOURCE-FACTS §187","NONE ATTACHED — no source document is linked on the site","No","/work/journeys/yamuna-yatra + /impact register"
"Yamuna Yatra — Young people through the Yatra","10,000+","Published with basis stated: counted","since 2004","owner 2026-08-22","NONE ATTACHED — no source document is linked on the site","No","/work/journeys/yamuna-yatra + /impact register"
"Yamunotsav — Editions, one every June","9","Published with basis stated: counted","2006–2014","owner 2026-08-21","NONE ATTACHED — no source document is linked on the site","No","/work/events (card only) + /impact register"
"Out of the Yamuna","6,890 t","NOT VERIFIED — absent from data/work and from /impact's register","TO COLLECT","NOT SOURCED — appears only in the hand-built homepage","NONE","YES — CRITICAL. Source it or withdraw it.","/ (homepage impact band) ONLY"
"Green infrastructures across schools","100+ / 100+ schools","NOT VERIFIED — absent from data/work and from /impact's register","TO COLLECT","NOT SOURCED — appears only in the hand-built homepage","NONE","YES — CRITICAL. Define 'green infrastructure', source it, or withdraw it.","/ (homepage impact band) ONLY"
"Years of the paper archive scanned","7 of 27","Verified — 7 real frames, 20 placeholders","2000-2026","Counted from home.html","N/A","Not a defect — an honest gap. Close it by scanning (master sheet F-06).","/ (record band)"
"Trees at Swechha Farm","5,000+","Owner-stated","current","SOURCE-FACTS §200, owner 21 Aug 2026","NONE","No","/farm, / (farm band)"
"Saplings in the native nursery","20,000","Carried from the frozen homepage","current","home.html band 8","NONE","YES — trace to a farm record rather than to a design file","/farm, /"
"Cows in the dairy","20","Owner-stated","current","SOURCE-FACTS §200","NONE","No","/farm, /"
"Students the farm can sleep","100","Owner-stated","current","owner 22 Aug 2026","NONE","No","/farm"
"Acres at the farm","5","Owner-stated","current","owner","NONE","No","/farm, /"
"Teachers trained","NOT ON SITE","700+ claimed on the old site, unverified","TO COLLECT","old WordPress project page","NONE","YES — collect and verify before publishing","None — the programme has no page"
"Meals served (Lunchbox 17)","NOT ON SITE","25,000 in a year claimed on the old site, unverified","TO COLLECT","old WordPress project page","NONE","YES — collect and verify","None — the programme has no page"
"Children into formal schooling (RTE campaign)","NOT ON SITE","150+ claimed on the old site, unverified","2007-","old WordPress project page (Pagdandi / Me to We)","NONE","YES — collect and verify","None"
"Tree survival rate","NOT PUBLISHED — cannot be, planted total unrecorded","N/A","TO COLLECT","Monsoon Wooding's own declared hole","NONE","YES — needs the planted total and the counting interval","/work/campaigns/monsoon-wooding"
"Fellows to date","NOT PUBLISHED","~150 implied (10/year since 2010) but never stated as a cumulative figure","since 2010","Derived from the published '10 fellowships each year'","NONE","YES — a cumulative fellow count, and the length of a fellowship year, are both unstated","/work/projects/influence"
"Volunteers, annually","10,000","Published, but dated to the year the programme started","since 2010","SOURCE-FACTS §84","NONE","YES — the page's own hole says it cannot say which of the five volunteering figures is still true","/work/projects/influence, /impact"
