"Title","Type","Date","Author/Speaker","Publication/Platform","Topic","URL/File","Relevant Swechha Page","Permission/Copyright Status","Recommended Use","Status"
"Annual Report 2023-24","Annual/activity report","2023-24","Swechha","swechha.in","Institutional transparency","/docs/reports/swechha-annual-report-2023-24.pdf","/about (transparency shelf — DOES NOT EXIST YET)","Own material; already public","Surface on /about. ","AVAILABLE — IN REPO, LINKED FROM NOWHERE"
"Annual Report 2024-25","Annual/activity report","2024-25","Swechha","swechha.in","Institutional transparency","/docs/reports/swechha-annual-report-2024-25.pdf","/about (transparency shelf — DOES NOT EXIST YET)","Own material; already public","Surface on /about. ","AVAILABLE — IN REPO, LINKED FROM NOWHERE"
"80G Tax Exemption Certificate","Statutory certificate","TO COLLECT","Income Tax Department","swechha.in","Tax exemption","/docs/compliance/80g-certificate.pdf","/about (transparency shelf)","Own material","Surface on /about WITH the registration details transcribed — it is an image-only scan and unreadable to a screen reader","AVAILABLE — IN REPO, LINKED FROM NOWHERE"
"INFLUENCE Annual Report 2012-2013","Project report","2012-13","Swechha","old WordPress","The Influence programme","docs/legacy/documents/INFLUENCE-ANNUAL-REPORT-2012-2013.pdf","/work/projects/influence","Own material","24pp IMAGE-ONLY SCAN — needs OCR or a written summary before publishing","NEEDS VERIFICATION"
"Me to We Final Report 2014","Project report","2014","Swechha","old WordPress","The ME to WE programme","docs/legacy/documents/Me-to-We-_Final-Report-2014.pdf","/work/projects/me-to-we","Own material","9pp, text layer. Publish beside the programme page.","AVAILABLE"
"NSN-BTG Final Report","Project report","TO COLLECT","Swechha / Nokia Siemens Networks","old WordPress","Bridge the Gap, funded by Nokia Siemens Networks","docs/legacy/documents/NSN-BTG_-final-report.pdf","/work/projects/bridge-the-gap","CHECK — carries a funder's name","17pp, text layer. May contain the school roll that closes master-sheet row D-01.","AVAILABLE"
"NatureScapes Manual — Sirmaur","Field manual","2025 (uploaded)","Swechha","Google Drive","Field methodology","Drive ID 1cJD5hCL7MZk7kwf104q992i8Q_sf55Rw","/work/journeys/naturescapes","Own material; confirm final version","Add to /publications AND link from the page it belongs to. Currently absent.","AVAILABLE — DRIVE"
"NatureScapes Manual — Sariska Tiger Reserve","Field manual","2025 (uploaded)","Swechha","Google Drive","Field methodology","Drive ID 1zJSbwYdNQs5P--xlnj86L1oVI8aCnJs0","/work/journeys/naturescapes","Own material; confirm final version","Add to /publications AND link from the page it belongs to. Currently absent.","AVAILABLE — DRIVE"
"Yamuna Manual","Field manual","2025 (uploaded)","Swechha","Google Drive","Field methodology","Drive ID 1k56jWyb-qA7Sv9Ge4HbpqyZALRFVBQTu","/work/journeys/yamuna-yatra + /now/yamuna","Own material; confirm final version","Add to /publications AND link from the page it belongs to. Currently absent.","AVAILABLE — DRIVE"
"CineGreen Manual","Field manual","2025 (uploaded)","Swechha","Google Drive","Field methodology","Drive ID 1cqmTmsGKuYpAiWr7AtV4oeDTP920AcjG","/work/projects/bridge-the-gap (CineGreen)","Own material; confirm final version","Add to /publications AND link from the page it belongs to. Currently absent.","AVAILABLE — DRIVE"
"New Delhi Brochure","Brochure","2025 (uploaded)","Swechha","Google Drive","Field methodology","Drive ID 1eSI4cOX4f32SeEJo3epndcSPbtbinNfx","/publications or /about","Own material; confirm final version","Add to /publications AND link from the page it belongs to. Currently absent.","AVAILABLE — DRIVE"
"Cyclone Biparjoy","Essay","2023-08-14","Antarixa Bhardwaj","swechha.in (originally the Swechha blog)","Climate / environment commentary","/stories/cyclone-biparjoy","/stories","Own material — bylined","Already published","READY FOR WEBSITE"
"Rise above the waters","Essay","2023-08-07","Antarixa Bhardwaj","swechha.in (originally the Swechha blog)","Climate / environment commentary","/stories/rise-above-the-waters","/stories","Own material — bylined","Already published","READY FOR WEBSITE"
"High time young people accelerate climate action","Essay","2022-09-07","Tanya Mittal","swechha.in (originally the Swechha blog)","Climate / environment commentary","/stories/young-people-accelerate-climate-action","/stories","Own material — bylined","Already published","READY FOR WEBSITE"
"Climate crisis in the UK and Europe","Essay","2022-08-15","Richa Mirdha","swechha.in (originally the Swechha blog)","Climate / environment commentary","/stories/climate-crisis-uk-and-europe","/stories","Own material — bylined","Already published","READY FOR WEBSITE"
"Increasing climate migration due to Assam floods","Essay","2022-08-14","Tanya Mittal","swechha.in (originally the Swechha blog)","Climate / environment commentary","/stories/increasing-climate-migration-assam-floods","/stories","Own material — bylined","Already published","READY FOR WEBSITE"
"Learning to grow with Swechha","Essay","2018-07-24","TO COLLECT","old Swechha blog","Reflection","old blog — recoverable","/stories","Own material","The SIXTH recovered essay, NOT republished. Publish or formally drop it.","NOT STARTED"
"Be the Change","Television series","2007-2008","CNN International","CNN International","Followed Swechha's founder for a year as one of six worldwide changemakers; reported weekly","TO COLLECT","/about (media archive — DOES NOT EXIST)","THIRD-PARTY COPYRIGHT — link/cite, do not re-host","The single strongest media fact Swechha holds. Currently a clause inside one biography.","NOT STARTED"
"Top 25 youth leaders of India","Magazine feature","2004","TO COLLECT","India Today","Youth leadership","TO COLLECT","/about (media archive)","THIRD-PARTY COPYRIGHT — thumbnail + citation","Scan needed from the office clippings file","NOT STARTED"
"Top 25 youth leaders of India","Magazine feature","2004","TO COLLECT","Outlook","Youth leadership","TO COLLECT","/about (media archive)","THIRD-PARTY COPYRIGHT — thumbnail + citation","Scan needed","NOT STARTED"
"Our Time is Now","Publication feature","2004","International Youth Foundation","International Youth Foundation","Profiled as one of the top 25 youth leaders of the world","TO COLLECT","/about (media archive)","THIRD-PARTY — link if the publication is online","NOT STARTED","NOT STARTED"
"UN General Assembly address on youth issues in the global south","Speech","2011","Vimlendu Jha","United Nations","Youth and the global south","TO COLLECT","/about (media archive)","Check for a UN recording or transcript","A dated, checkable institutional fact","NOT STARTED"
"Jijivisha / Wasted / Disposable — broadcast history","Broadcast record","TO COLLECT","Swechha","CNN International, NDTV, BBC, CBC","Waste and the Yamuna","TO COLLECT","/stories","THIRD-PARTY BROADCASTERS — cite dates and channels rather than re-hosting","Broadcast dates and channels are the collectible here, not the films — those are already embedded.","NOT STARTED"
"Disposable (film)","Documentary","TO COLLECT","Vimlendu Jha","TO COLLECT","Solid waste management","NOT FOUND — zero hits across all 148 indexed channel videos","/stories","Own material","Locate the file or confirm it is lost. The site names it as a hole rather than dropping it.","SEARCHING"
"Tatva (film)","Documentary","TO COLLECT","Vimlendu Jha","TO COLLECT","Climate, water and energy","NOT ON THE SITE — named in one biography only","/stories","Own material","Locate and add, or drop the mention.","SEARCHING"
"Sakhi (film)","Documentary","2021","Swechha","TO COLLECT","TO COLLECT","NOT ON THE SITE — 'Sakhi' and 'Ford Foundation' appear on zero built pages","/stories","Check the Ford Foundation credit requirements","Locate the film and the funder credit.","SEARCHING"
"Podcast and masterclass series","Podcast","TO COLLECT","Swechha / Green the Map","YouTube (indexed)","Environment and resilience","Indexed in data/media/youtube-index.json","/stories","Own channel","Episodes are indexed and largely unembedded — see master sheet K-06.","AVAILABLE"
"[Any RTI, consultation response, PIL or ministry submission]","Advocacy document","TO COLLECT","Swechha","TO COLLECT","Air / Yamuna / heat / forest","NONE ON SITE","/now/* ('What we do about it')","Check confidentiality","Nothing on the six situation pages shows Swechha acting on a measurement. This is the collection that would fix it.","NOT STARTED"
