"Sheet","Row ID","ID","Wave","Assigned To","Website Page/URL","Section","Content Gap","Priority","Content Needed","Specific Details Required","Existing on Site?","Existing Internally?","Source/Person to Contact","File/URL Available","Asset Type","Public Permission/Clearance","Recommended Website Use","Status","Notes","Project Name","Kind","Year Started","Year Ended/Ongoing","Location","Theme","Short Description","Key Numbers","Partners","Funder","Available Photos","Available Report","Available Video","Available Media Coverage","Website Status","Missing Information","Source","Organisation","Type of Partner","Project/Campaign","Year(s)","Nature of Association","Logo Available","Permission to Display","Existing Website Mention","Missing Content","Should this be publicly featured?","Institution Name","City","State","Programme/Project","Year","Number of Students/Participants","Key Activity","Photos Available","Permission Available","Website Use Recommendation","Metric","Current Number on Website","Correct/Verified Number?","Year/Period","Source of Data","Supporting Document","Needs Updating?","Website Page(s) Using It","Asset Needed","Related Project/Page","Description","Approximate Year","Preferred Orientation","Minimum Quality Needed","Source/Photographer","File Available?","Rights/Credit Confirmed?","Alt text (REQUIRED - build refuses a frame without it)","Credit line (REQUIRED - e.g. 'Swechha archive')","Genuine photograph? (confirm - 25 synthetic frames were withdrawn on 22 Aug)","Link to file (Drive/Dropbox) or filename once supplied","Title","Type","Date","Author/Speaker","Publication/Platform","Topic","URL/File","Relevant Swechha Page","Permission/Copyright Status","Recommended Use","File","Alt text (already written)","Credit","Tags","Pixels","Rendering note","Used on which built pages","Usable?"
"01 · Master sheet","H-03","H-03","3 — archive, photography, consent or owner ruling","","/","'The record' band — paper archive","The homepage advertises 'The paper archive, digitised in public — 7/27 years scanned' over a 27-cell year strip. 20 of the 27 cells are placeholder frames. Every year from 2000 to 2017 is a placeholder.","CRITICAL","One representative scanned/photographed item per year, 2000-2017 (+2021, 2024)","Per year: one image (photo, poster, clipping, report cover, letter), the year, a 3-8 word caption, and where it came from. 20 items needed to fill the strip.","7 of 27 years","LIKELY — 'boxes nobody has opened yet', per the site's own copy","Vimlendu / office archive at Khirki Extension","No","Scans / photographs","Own material; check for identifiable minors","Fills the homepage archive strip; also feeds H-01's timeline","NOT STARTED","The site already tells visitors 20 years are unscanned. Closing this converts an admitted absence into the site's best asset.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01 · Master sheet","H-04","H-04","3 — archive, photography, consent or owner ruling","","/","'Do it yourself' door","The homepage's 'The record' band promises four things and links three. The 'Do it yourself' door — 'Compost, a balcony air-detox garden, a school waste audit, a river walk you can run without us' — has NO href and no page behind it.","HIGH","Four evergreen how-to guides","Compost guide, balcony air-detox garden guide, school waste audit protocol, self-guided river walk. Each: materials, steps, what to expect, roughly how long.","Described, not linked, not built","LIKELY — these are things Swechha teaches weekly","Ashim / Srija / Nikhil (facilitators)","No","Text + diagrams/photos","Own material","A /do or /diy section, linked from the homepage door that already describes it","NOT STARTED","This is the AD-24/AD-25 defect pattern again: copy exists, destination does not. Either build it or remove the door.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01 · Master sheet","H-05","H-05","2 — one conversation closes it","","/about, /","Mission and 'Wheel of Change'","The five themes, three pillars and 'Wheel of Change' are stated as a framework with no work attached. A reader cannot tell which project sits under which theme.","MEDIUM","A theme-to-work mapping","For each of the five themes plus 'Building Narratives', list which of the 23 work items belong to it.","Framework stated, unmapped","YES — implicit in the programme structure","Ashim (Programs)","No","Mapping table","Own material","Either map the themes onto WORK, or drop them. An unattached framework reads as boilerplate.","NOT STARTED","The site classifies work by FORM (projects/campaigns/journeys/events), which is the better spine. Do not build a second taxonomy — just attach the themes.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01 · Master sheet","H-06","H-06","3 — archive, photography, consent or owner ruling","","/about","Awards and recognition","Every award Swechha holds is buried inside one team biography. There is no recognition section anywhere on the site.","MEDIUM","A verified award list","For each: award name, awarding body, year, what it was for, and a link or scan. Already named in bios: India Today & Outlook top-25 youth leaders (2004), International Youth Foundation 'Our Time is Now' (2004), CNN International Be the Change (2007/2008), UN General Assembly address (2011), ELC Bright Promise Award (2018, 57 girls — citation unknown), M. K. Tata Prize and NTPC gold medal (Aruna Pandey), Young Analyst Award EU/DPG (Aruna Pandey).","In bio prose only","YES — founder's records","Vimlendu","No","Text + scans/screenshots","Check whether personal awards may be presented as organisational","A recognition band on /about; the ELC citation belongs on the She Leads Change page","NEEDS VERIFICATION","Distinguish clearly between Vimlendu's personal awards and Swechha's institutional ones. Presenting one as the other is the credibility risk here.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01 · Master sheet","H-07","H-07","2 — one conversation closes it","","/about","Organisational scale","Nothing states how many people work at Swechha, how many are full-time, or where the offices are, beyond eight named staff and 'Khirki Extension, New Delhi'.","MEDIUM","Headcount and locations","Full-time staff, part-time/contract facilitators, annual volunteer count, and every physical location (Khirki Extension office, the farm, the Remakery, any field base).","8 names + one address","YES","Neeraj (Admin)","No","Text","Own material","One line on /about; feeds a 'Where we work' element","NOT STARTED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01 · Master sheet","W-01","W-01","2 — one conversation closes it","","/work/campaigns","We for Yamuna","The organisation's founding campaign, running since 2000, is a card with no page, no dated action, no demand and no photograph. Its whole story on the site is the founding story, which /about tells better.","CRITICAL","Enough content for a detail page: 400-900 words plus figures and photographs","One dated action and one stated demand — anything that is not the year 2000. Then: is it still running? What has it asked for, of whom? Any measured change it can honestly claim a hand in.","Card on the index only — no page","TO BE COLLECTED / VERIFIED INTERNALLY","Ashim (Programs) / Vimlendu","No","Text + figures + photos","Own material; consent for any identifiable participants","A /work/campaigns/<slug> detail page in the same shape as the ten that exist","NOT STARTED","The site's own declared hole says exactly this. This is the oldest thing Swechha does and the thinnest page about it.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01 · Master sheet","W-02","W-02","2 — one conversation closes it","","/work/campaigns","Delhi I Can't See You","A name and nothing else: no start date, no demand, no action. The air situation page and the campaigns index both tell readers this is Swechha's campaign on Delhi's air, so the name promises more than the record can keep.","CRITICAL","Enough content for a detail page: 400-900 words plus figures and photographs","Three sentences: when it started, what it asks for, and one thing it has done. Plus any photograph at all from a real action.","Card on the index only — no page","TO BE COLLECTED / VERIFIED INTERNALLY","Ashim (Programs) / Vimlendu","No","Text + figures + photos","Own material; consent for any identifiable participants","A /work/campaigns/<slug> detail page in the same shape as the ten that exist","NOT STARTED","Named on the homepage and cross-linked from /now/air. The most-promised, least-documented item on the site.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01 · Master sheet","W-03","W-03","2 — one conversation closes it","","/work/campaigns","This Girl Can","A name and a subject. No start date, no demand, no action. Cannot be distinguished from She Leads Change or ME to WE, which work with the same girls in the same settlement.","HIGH","Enough content for a detail page: 400-900 words plus figures and photographs","Three sentences: when it started, what it asked for, one thing it did. AND a ruling: is this a campaign in its own right, or the public name that She Leads Change / ME to WE campaign under?","Card on the index only — no page","TO BE COLLECTED / VERIFIED INTERNALLY","Ashim (Programs) / Vimlendu","No","Text + figures + photos","Own material; consent for any identifiable participants","A /work/campaigns/<slug> detail page in the same shape as the ten that exist","NOT STARTED","A 'This Girl Can book' was named and then withdrawn under AD-26 R-2 because no file was ever found. If a file exists, it changes both this row and /publications.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01 · Master sheet","W-04","W-04","2 — one conversation closes it","","/work/campaigns","No more Waste Hills","Names a target and nothing else: no year, no landfill, no demand, no outcome. A CityScapes walk goes to a landfill edge and there is a photograph of it, but no stated link between the two.","HIGH","Enough content for a detail page: 400-900 words plus figures and photographs","Which hill (Ghazipur, Bhalswa, Okhla?), what was asked and of whom, what year. And whether the CityScapes landfill walk is part of this campaign.","Card on the index only — no page","TO BE COLLECTED / VERIFIED INTERNALLY","Ashim (Programs) / Vimlendu","No","Text + figures + photos","Own material; consent for any identifiable participants","A /work/campaigns/<slug> detail page in the same shape as the ten that exist","NOT STARTED","If the walk is part of it, this campaign has been running in plain sight with a usable photograph already on file.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01 · Master sheet","W-05","W-05","2 — one conversation closes it","","/work/campaigns","No Plastic","A clear demand with no record behind it: no year, no target, no outcome. The site cannot say whether this is about a ban, a substitution, or a shop — three different campaigns.","HIGH","Enough content for a detail page: 400-900 words plus figures and photographs","Which of the three it is; when it ran; what it changed. A refusal counts as an outcome.","Card on the index only — no page","TO BE COLLECTED / VERIFIED INTERNALLY","Ashim (Programs) / Vimlendu","No","Text + figures + photos","Own material; consent for any identifiable participants","A /work/campaigns/<slug> detail page in the same shape as the ten that exist","NOT STARTED","Likely connected to the GIZ Sustainable Shopping Basket (2010) already on /publications, and to the Marine Litter / EPR work with GIZ+MoEFCC that has no page at all (see W-16).","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01 · Master sheet","W-06","W-06","2 — one conversation closes it","","/work/campaigns","Park Restoration","No date, no site list, no demand. Eco Action holds all the park figures (70+ butterfly parks, 20+ herb gardens, the Vasant Kunj decade); this campaign holds none of them.","HIGH","Enough content for a detail page: 400-900 words plus figures and photographs","A ruling first: is this the same work as Eco Action under a second name? If yes it becomes a section of that page. If no: one park, one year, one thing that was asked for.","Card on the index only — no page","TO BE COLLECTED / VERIFIED INTERNALLY","Ashim (Programs) / Vimlendu","No","Text + figures + photos","Own material; consent for any identifiable participants","A /work/campaigns/<slug> detail page in the same shape as the ten that exist","NOT STARTED","A merge is a perfectly good answer here and is cheaper than a page.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01 · Master sheet","W-07","W-07","2 — one conversation closes it","","/work/campaigns","Sustainable Shopping","No date, no demand, no audience. And Green the Map — which the homepage explicitly labels NOT a Swechha programme — sells sustainable goods, so a reader will assume a connection the site never addresses.","HIGH","Enough content for a detail page: 400-900 words plus figures and photographs","Who it spoke to and what it asked them to buy instead; the years it ran; and ONE line on whether it is connected to Green the Map.","Card on the index only — no page","TO BE COLLECTED / VERIFIED INTERNALLY","Ashim (Programs) / Vimlendu","No","Text + figures + photos","Own material; consent for any identifiable participants","A /work/campaigns/<slug> detail page in the same shape as the ten that exist","NOT STARTED","The GIZ Sustainable Shopping Basket guide (2010) on /publications is almost certainly this campaign's artefact and is not linked to it.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01 · Master sheet","W-08","W-08","3 — archive, photography, consent or owner ruling","","/work/events","Yamunotsav","Nine editions of a river festival, June 2006-2014, and not one photograph or account on the site. The site's own note says the frames sit in a Drive folder that will not open.","CRITICAL","Enough content for a detail page: 400-900 words plus figures and photographs","ACCESS to the Yamunotsav Drive folder. Then: what happened at one, roughly how many people came, and one sentence on why 2014 was the last — and whether it is coming back.","Card on the index only — no page","TO BE COLLECTED / VERIFIED INTERNALLY","Ashim (Programs) / Vimlendu","No","Text + figures + photos","Own material; consent for any identifiable participants","A /work/events/<slug> detail page in the same shape as the ten that exist","NOT STARTED","The site's own words: 'Nine Junes of a river festival is the best unshown material Swechha has.' Getting that folder open is one of the highest-value single actions on this whole list.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01 · Master sheet","W-09","W-09","2 — one conversation closes it","","/work/events","Cyclothon","Has been run; the site cannot say when, where, or how many times. 43 words of data total.","MEDIUM","Enough content for a detail page: 400-900 words plus figures and photographs","One line on what happens, roughly how many editions, which years, and the Cyclothon archive folder.","Card on the index only — no page","TO BE COLLECTED / VERIFIED INTERNALLY","Ashim (Programs) / Vimlendu","No","Text + figures + photos","Own material; consent for any identifiable participants","A /work/events/<slug> detail page in the same shape as the ten that exist","NOT STARTED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01 · Master sheet","W-10","W-10","2 — one conversation closes it","","/work/events","Greenathon","No record beyond the name. 42 words of data total.","MEDIUM","Enough content for a detail page: 400-900 words plus figures and photographs","One line on what happens, roughly how many editions, which years, and any photographs.","Card on the index only — no page","TO BE COLLECTED / VERIFIED INTERNALLY","Ashim (Programs) / Vimlendu","No","Text + figures + photos","Own material; consent for any identifiable participants","A /work/events/<slug> detail page in the same shape as the ten that exist","NOT STARTED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01 · Master sheet","W-11","W-11","3 — archive, photography, consent or owner ruling","","/work/events","Yamuna Shramdaan","The site cannot say when one last ran, how many have run, or which stretch of bank. 52 words of data total. Meanwhile /act asks people to turn up to clean-ups.","CRITICAL","Enough content for a detail page: 400-900 words plus figures and photographs","One line, the Shramdaan archive folder, which bank stretches, and — critically — whether they still run, since /act's volunteer ask depends on it.","Card on the index only — no page","TO BE COLLECTED / VERIFIED INTERNALLY","Ashim (Programs) / Vimlendu","No","Text + figures + photos","Own material; consent for any identifiable participants","A /work/events/<slug> detail page in the same shape as the ten that exist","NOT STARTED","/act deliberately publishes no calendar BECAUSE all four event formats carry this hole. Closing it unblocks the volunteer ask on the site's most-linked-to page.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01 · Master sheet","W-12","W-12","2 — one conversation closes it","","/work/projects","She Leads Change","Has three sourced figures but no page. Runs on the same settlement, with the same partner (EMpower), in the same age group as ME to WE, and the site cannot say how the two differ.","HIGH","Enough content for a detail page: 400-900 words plus figures and photographs","One sentence of difference from ME to WE (or a merge); a current cohort size; and the citation for the 2018 ELC Bright Promise Award given to 57 girls.","Card on the index only — no page","TO BE COLLECTED / VERIFIED INTERNALLY","Ashim (Programs) / Vimlendu","No","Text + figures + photos","Own material; consent for any identifiable participants","A /work/projects/<slug> detail page in the same shape as the ten that exist","NOT STARTED","Three sourced figures already exist — this is close to page-ready.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01 · Master sheet","W-13","W-13","2 — one conversation closes it","","/work/projects","Food systems, with UNEP","Sits under a heading that reads 'What is running' while the site's own sentence about it is in the future tense. UNEP's role is unstated: funder, technical partner, or co-designer.","CRITICAL","Enough content for a detail page: 400-900 words plus figures and photographs","Has it started? A start date and a school count. One word for UNEP's role. One dated first deliverable.","Card on the index only — no page","TO BE COLLECTED / VERIFIED INTERNALLY","Ashim (Programs) / Vimlendu","No","Text + figures + photos","Own material; consent for any identifiable participants","A /work/projects/<slug> detail page in the same shape as the ten that exist","NOT STARTED","A UNEP association is one of the strongest credibility signals on the site and it is currently a sentence in the future tense on a page titled 'What is running'.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01 · Master sheet","M-01","M-01","3 — archive, photography, consent or owner ruling","","/work/projects","The Remakery","The upcycling shop and workshop space is named on the homepage and /about, is where a named staff member works, and has no page. /remakery 404s on the live site.","CRITICAL","A decision on whether it belongs on the site, then a page or a section","What it is, where it is, when it opened, the weekly 'One Night Stand' events, what it makes, who runs it, and whether it is open now. A 2025-09-03 post exists about it reopening after eight months.","No — old URL redirects to a parent index","YES — the old site carried a full page","Ashim / Vimlendu","Old WordPress page text captured in docs/legacy/","Text + figures + photos","Own material","Either a /work item or a section of an existing page","NOT STARTED","Named on two pages, staffed by Nikhil per his own bio, and 404 at its own URL. The clearest case of a real thing with no page.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01 · Master sheet","M-02","M-02","2 — one conversation closes it","","/work/projects","Teacher Training","700+ educators trained per the old site, with no page. Teacher training is currently one bullet inside Bridge the Gap.","HIGH","A decision on whether it belongs on the site, then a page or a section","Verified number of teachers trained, over what period, in which schools, what the training covers, and whether it runs standalone or only inside Bridge the Gap.","No — old URL redirects to a parent index","YES — the old site carried a full page","Ashim / Vimlendu","Old WordPress page text captured in docs/legacy/","Text + figures + photos","Own material","Either a /work item or a section of an existing page","NOT STARTED","A teacher-training figure is one of the few things that converts 'reach' into 'effect' — the gap Bridge the Gap's own hole names.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01 · Master sheet","M-03","M-03","2 — one conversation closes it","","/work/projects","Green Finance (with IGES)","A study of 93 social enterprises — the longest project page on the old site — with no presence on the new one. It pairs directly with the IGES publication already on /publications.","HIGH","A decision on whether it belongs on the site, then a page or a section","Study period, method, what the 93 enterprises were, findings, and the published output. Confirm the relationship to the IGES Future Lifestyles report already hosted.","No — old URL redirects to a parent index","YES — the old site carried a full page","Ashim / Vimlendu","Old WordPress page text captured in docs/legacy/","Text + figures + photos","Own material","Either a /work item or a section of an existing page","NOT STARTED","Swechha's only primary research is already on /publications. This is the project behind it and is invisible.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
